feature,max_term,classifier,balancing,resampling,train_metric,threshold,train_size,train_size_class_0,train_size_class_1,hyper1,value1,hyper2,value2,hyper3,value3,seed
long_description,100,knn,smote,cv10,Accuracy,365,13668,6984,6684,k,5,,0,,0,144
long_description,100,knn,unbalanced,cv10,Accuracy,365,7541,6984,557,k,33,,0,,0,144
long_description,100,nb,smote,cv10,Accuracy,365,13668,6984,6684,fL,0,usekernel,0,adjust,0,144
long_description,100,nb,unbalanced,cv10,Accuracy,365,7541,6984,557,fL,0,usekernel,1,adjust,2,144
long_description,100,nn,smote,cv10,Accuracy,365,13668,6984,6684,size,30,decay,0.5,,0,144
long_description,100,nn,unbalanced,cv10,Accuracy,365,7541,6984,557,size,10,decay,0.5,,0,144
long_description,100,rf,smote,cv10,Accuracy,365,13668,6984,6684,mtry,25,,0,,0,144
long_description,100,rf,unbalanced,cv10,Accuracy,365,7541,6984,557,mtry,25,,0,,0,144
long_description,100,svm,smote,cv10,Accuracy,365,13668,6984,6684,sigma,0.03125,C,32,,0,144
long_description,100,svm,unbalanced,cv10,Accuracy,365,7541,6984,557,sigma,32,C,0.03125,,0,144
short_description,100,knn,smote,cv10,Accuracy,365,11893,6121,5772,k,5,,0,,0,144
short_description,100,knn,unbalanced,cv10,Accuracy,365,6602,6121,481,k,33,,0,,0,144
short_description,100,nb,smote,cv10,Accuracy,365,11893,6121,5772,fL,0,usekernel,0,adjust,0,144
short_description,100,nb,unbalanced,cv10,Accuracy,365,6602,6121,481,fL,0,usekernel,1,adjust,1,144
short_description,100,nn,smote,cv10,Accuracy,365,11893,6121,5772,size,40,decay,0.5,,0,144
short_description,100,nn,unbalanced,cv10,Accuracy,365,6602,6121,481,size,40,decay,0.5,,0,144
short_description,100,rf,smote,cv10,Accuracy,365,11893,6121,5772,mtry,75,,0,,0,144
short_description,100,rf,unbalanced,cv10,Accuracy,365,6602,6121,481,mtry,25,,0,,0,144
short_description,100,svm,smote,cv10,Accuracy,365,11893,6121,5772,sigma,0.03125,C,1024,,0,144
short_description,100,svm,unbalanced,cv10,Accuracy,365,6602,6121,481,sigma,32,C,0.03125,,0,144
