bug_id,bug_fix_time,long_lived,y_hat,project_name,classifier
PACKAGING-40590,14,N,N,winehq,knn
WINE-10457,390,Y,N,winehq,knn
WINE-10480,2418,Y,Y,winehq,knn
WINE-10582,89,N,N,winehq,knn
WINE-10610,196,N,N,winehq,knn
WINE-10883,98,N,N,winehq,knn
WINE-11008,49,N,Y,winehq,knn
WINE-11107,2853,Y,Y,winehq,knn
WINE-11281,494,Y,N,winehq,knn
WINE-11596,711,Y,N,winehq,knn
WINE-11663,264,N,Y,winehq,knn
WINE-11678,4,N,N,winehq,knn
WINE-11799,1337,Y,N,winehq,knn
WINE-11898,3003,Y,N,winehq,knn
WINE-12010,11,N,Y,winehq,knn
WINE-12026,1525,Y,N,winehq,knn
WINE-12285,152,N,N,winehq,knn
WINE-12680,13,N,N,winehq,knn
WINE-12951,205,N,Y,winehq,knn
WINE-13255,164,N,N,winehq,knn
WINE-13632,2352,Y,N,winehq,knn
WINE-13787,192,N,Y,winehq,knn
WINE-13832,1343,Y,N,winehq,knn
WINE-14056,196,N,N,winehq,knn
WINE-1406,782,Y,Y,winehq,knn
WINE-14075,1341,Y,N,winehq,knn
WINE-1464,5,N,N,winehq,knn
WINE-147,1605,Y,Y,winehq,knn
WINE-14718,2138,Y,N,winehq,knn
WINE-14749,168,N,N,winehq,knn
WINE-14894,2642,Y,Y,winehq,knn
WINE-1499,3,N,Y,winehq,knn
WINE-15012,658,Y,N,winehq,knn
WINE-15230,862,Y,N,winehq,knn
WINE-15374,18,N,N,winehq,knn
WINE-15500,1117,Y,Y,winehq,knn
WINE-15738,1839,Y,Y,winehq,knn
WINE-15748,32,N,N,winehq,knn
WINE-15845,2992,Y,Y,winehq,knn
WINE-15903,266,N,N,winehq,knn
WINE-16378,603,Y,N,winehq,knn
WINE-16485,1046,Y,Y,winehq,knn
WINE-16598,14,N,N,winehq,knn
WINE-16611,1,N,N,winehq,knn
WINE-16668,1081,Y,N,winehq,knn
WINE-17076,4,N,N,winehq,knn
WINE-17447,568,Y,N,winehq,knn
WINE-17494,686,Y,N,winehq,knn
WINE-17592,1124,Y,Y,winehq,knn
WINE-17987,11,N,N,winehq,knn
WINE-18079,1398,Y,N,winehq,knn
WINE-18551,287,N,N,winehq,knn
WINE-19014,1,N,Y,winehq,knn
WINE-1918,2655,Y,N,winehq,knn
WINE-1925,4,N,Y,winehq,knn
WINE-19392,32,N,Y,winehq,knn
WINE-19747,1,N,N,winehq,knn
WINE-19860,331,N,N,winehq,knn
WINE-19978,78,N,Y,winehq,knn
WINE-20159,4,N,N,winehq,knn
WINE-20215,2704,Y,Y,winehq,knn
WINE-20276,576,Y,N,winehq,knn
WINE-20354,1527,Y,N,winehq,knn
WINE-20389,224,N,N,winehq,knn
WINE-20466,1615,Y,N,winehq,knn
WINE-205,48,N,N,winehq,knn
WINE-20684,28,N,Y,winehq,knn
WINE-20686,1,N,N,winehq,knn
WINE-20735,154,N,Y,winehq,knn
WINE-21132,1016,Y,N,winehq,knn
WINE-21177,1495,Y,N,winehq,knn
WINE-21710,597,Y,N,winehq,knn
WINE-21813,2053,Y,Y,winehq,knn
WINE-2184,21,N,Y,winehq,knn
WINE-22040,163,N,Y,winehq,knn
WINE-22071,890,Y,Y,winehq,knn
WINE-22085,1918,Y,Y,winehq,knn
WINE-2304,35,N,Y,winehq,knn
WINE-2312,15,N,N,winehq,knn
WINE-23298,2015,Y,Y,winehq,knn
WINE-23487,3002,Y,N,winehq,knn
WINE-23671,415,Y,N,winehq,knn
WINE-23755,1023,Y,Y,winehq,knn
WINE-23956,233,N,Y,winehq,knn
WINE-24371,416,Y,N,winehq,knn
WINE-24425,1,N,Y,winehq,knn
WINE-24453,777,Y,N,winehq,knn
WINE-2453,287,N,N,winehq,knn
WINE-24806,380,Y,N,winehq,knn
WINE-25252,583,Y,N,winehq,knn
WINE-25414,383,Y,N,winehq,knn
WINE-2560,1093,Y,N,winehq,knn
WINE-25762,969,Y,N,winehq,knn
WINE-25851,1496,Y,N,winehq,knn
WINE-25926,2,N,N,winehq,knn
WINE-26129,590,Y,Y,winehq,knn
WINE-26367,2,N,Y,winehq,knn
WINE-26522,362,N,N,winehq,knn
WINE-26553,531,Y,Y,winehq,knn
WINE-26697,314,N,N,winehq,knn
WINE-26884,5,N,Y,winehq,knn
WINE-26892,438,Y,N,winehq,knn
WINE-26907,429,Y,Y,winehq,knn
WINE-26945,18,N,N,winehq,knn
WINE-27003,672,Y,N,winehq,knn
WINE-27132,1,N,N,winehq,knn
WINE-27189,477,Y,Y,winehq,knn
WINE-2741,40,N,Y,winehq,knn
WINE-27516,3,N,Y,winehq,knn
WINE-27707,544,Y,N,winehq,knn
WINE-27736,1220,Y,Y,winehq,knn
WINE-27776,7,N,N,winehq,knn
WINE-27795,3,N,N,winehq,knn
WINE-27818,8,N,N,winehq,knn
WINE-28056,64,N,N,winehq,knn
WINE-28058,431,Y,Y,winehq,knn
WINE-28223,961,Y,N,winehq,knn
WINE-28400,5,N,Y,winehq,knn
WINE-28422,415,Y,N,winehq,knn
WINE-28558,168,N,N,winehq,knn
WINE-28617,10,N,N,winehq,knn
WINE-28823,1037,Y,N,winehq,knn
WINE-2885,729,Y,Y,winehq,knn
WINE-28922,242,N,N,winehq,knn
WINE-28962,133,N,N,winehq,knn
WINE-29284,576,Y,N,winehq,knn
WINE-29432,796,Y,N,winehq,knn
WINE-29509,981,Y,Y,winehq,knn
WINE-29624,3,N,N,winehq,knn
WINE-29785,776,Y,N,winehq,knn
WINE-29882,807,Y,Y,winehq,knn
WINE-30332,4,N,N,winehq,knn
WINE-30598,181,N,N,winehq,knn
WINE-30822,2565,Y,N,winehq,knn
WINE-31017,57,N,N,winehq,knn
WINE-31319,380,Y,N,winehq,knn
WINE-31570,50,N,N,winehq,knn
WINE-31681,14,N,N,winehq,knn
WINE-31683,249,N,N,winehq,knn
WINE-31825,3,N,N,winehq,knn
WINE-31879,1,N,N,winehq,knn
WINE-32101,23,N,N,winehq,knn
WINE-3234,8,N,Y,winehq,knn
WINE-32391,74,N,N,winehq,knn
WINE-32406,5,N,Y,winehq,knn
WINE-32524,769,Y,Y,winehq,knn
WINE-32549,9,N,N,winehq,knn
WINE-32719,813,Y,N,winehq,knn
WINE-32763,1,N,N,winehq,knn
WINE-32876,78,N,N,winehq,knn
WINE-32905,20,N,N,winehq,knn
WINE-3304,392,Y,N,winehq,knn
WINE-33447,682,Y,N,winehq,knn
WINE-33457,1187,Y,N,winehq,knn
WINE-3357,5,N,N,winehq,knn
WINE-33834,2264,Y,Y,winehq,knn
WINE-34162,17,N,N,winehq,knn
WINE-34351,624,Y,N,winehq,knn
WINE-3485,258,N,N,winehq,knn
WINE-35237,13,N,N,winehq,knn
WINE-35395,168,N,N,winehq,knn
WINE-36297,695,Y,Y,winehq,knn
WINE-3631,0,N,N,winehq,knn
WINE-36371,302,N,Y,winehq,knn
WINE-36601,56,N,N,winehq,knn
WINE-3678,46,N,N,winehq,knn
WINE-36932,494,Y,Y,winehq,knn
WINE-37115,559,Y,Y,winehq,knn
WINE-37851,101,N,N,winehq,knn
WINE-37954,560,Y,N,winehq,knn
WINE-38003,15,N,Y,winehq,knn
WINE-38050,1,N,N,winehq,knn
WINE-38178,53,N,N,winehq,knn
WINE-38230,297,N,N,winehq,knn
WINE-38422,1277,Y,N,winehq,knn
WINE-38685,1347,Y,Y,winehq,knn
WINE-38974,127,N,N,winehq,knn
WINE-39677,55,N,N,winehq,knn
WINE-40114,3,N,Y,winehq,knn
WINE-40221,17,N,Y,winehq,knn
WINE-40386,259,N,Y,winehq,knn
WINE-40473,3,N,Y,winehq,knn
WINE-40550,4,N,N,winehq,knn
WINE-40593,24,N,N,winehq,knn
WINE-40660,9,N,Y,winehq,knn
WINE-40792,11,N,N,winehq,knn
WINE-40826,639,Y,Y,winehq,knn
WINE-40920,30,N,N,winehq,knn
WINE-41405,7,N,N,winehq,knn
WINE-41744,30,N,N,winehq,knn
WINE-41998,20,N,Y,winehq,knn
WINE-4204,346,N,Y,winehq,knn
WINE-4207,40,N,N,winehq,knn
WINE-42463,0,N,N,winehq,knn
WINE-42516,2,N,N,winehq,knn
WINE-42754,66,N,Y,winehq,knn
WINE-429,705,Y,N,winehq,knn
WINE-42910,45,N,Y,winehq,knn
WINE-43039,3,N,Y,winehq,knn
WINE-43865,408,Y,Y,winehq,knn
WINE-43913,3,N,N,winehq,knn
WINE-44150,424,Y,Y,winehq,knn
WINE-44465,102,N,Y,winehq,knn
WINE-44749,0,N,N,winehq,knn
WINE-44837,13,N,N,winehq,knn
WINE-4682,1,N,Y,winehq,knn
WINE-4747,344,N,N,winehq,knn
WINE-4776,167,N,Y,winehq,knn
WINE-54,1554,Y,N,winehq,knn
WINE-5509,7,N,Y,winehq,knn
WINE-5666,79,N,N,winehq,knn
WINE-5758,386,Y,N,winehq,knn
WINE-5824,583,Y,N,winehq,knn
WINE-5839,663,Y,Y,winehq,knn
WINE-5979,7,N,Y,winehq,knn
WINE-5990,1,N,N,winehq,knn
WINE-5996,511,Y,Y,winehq,knn
WINE-6056,200,N,N,winehq,knn
WINE-6306,328,N,N,winehq,knn
WINE-6452,14,N,N,winehq,knn
WINE-6714,47,N,N,winehq,knn
WINE-6885,108,N,N,winehq,knn
WINE-7012,1224,Y,N,winehq,knn
WINE-7143,1695,Y,N,winehq,knn
WINE-7169,393,Y,Y,winehq,knn
WINE-7332,460,Y,N,winehq,knn
WINE-7333,1714,Y,N,winehq,knn
WINE-7409,330,N,N,winehq,knn
WINE-7451,647,Y,N,winehq,knn
WINE-7883,34,N,Y,winehq,knn
WINE-8026,138,N,Y,winehq,knn
WINE-808,1090,Y,N,winehq,knn
WINE-8289,82,N,Y,winehq,knn
WINE-8491,361,N,N,winehq,knn
WINE-8776,266,N,Y,winehq,knn
WINE-9055,6,N,N,winehq,knn
WINE-9292,96,N,N,winehq,knn
WINE-9330,1,N,N,winehq,knn
WINE-9514,457,Y,N,winehq,knn
WINE-9561,285,N,Y,winehq,knn
WINE-9670,316,N,N,winehq,knn
WINEHQ_APPS_DATABASE-10153,2,N,N,winehq,knn
WINEHQ_APPS_DATABASE-21030,2533,Y,N,winehq,knn
WINEHQ_APPS_DATABASE-2952,683,Y,N,winehq,knn
WINEHQ_APPS_DATABASE-30820,23,N,N,winehq,knn
WINEHQ_APPS_DATABASE-3224,1,N,N,winehq,knn
WINEHQ_BUGZILLA-32223,243,N,N,winehq,knn
WINEHQ_BUGZILLA-39470,1094,Y,N,winehq,knn
WINEHQ.ORG-2215,148,N,N,winehq,knn
